launcher,rocket,frame,seconds
6,10,106,4.375
6,11,112,4.625
6,12,118,4.875
6,13,124,5.125
6,14,130,5.375
6,15,136,5.625
6,16,142,5.875
6,17,148,6.125
6,18,154,6.375
6,19,160,6.625
6,20,166,6.875
6,21,172,7.125
6,22,178,7.375
6,23,184,7.625
6,24,190,7.875
7,1,52,2.125
7,2,58,2.375
7,3,64,2.625
7,4,70,2.875
7,5,76,3.125
7,6,82,3.375
7,7,88,3.625
7,8,94,3.875
7,9,100,4.125
7,10,106,4.375
7,11,112,4.625
7,12,118,4.875
7,13,124,5.125
7,14,130,5.375
7,15,136,5.625
7,16,142,5.875
7,17,148,6.125
7,18,154,6.375
7,19,160,6.625
7,20,166,6.875
7,21,172,7.125
7,22,178,7.375
7,23,184,7.625
7,24,190,7.875
8,1,52,2.125
8,2,58,2.375
8,3,64,2.625
8,4,70,2.875
8,5,76,3.125
8,6,82,3.375
8,7,88,3.625
8,8,94,3.875
8,9,100,4.125
8,10,106,4.375
8,11,112,4.625
8,12,118,4.875
8,13,124,5.125
8,14,130,5.375
8,15,136,5.625
8,16,142,5.875
8,17,148,6.125
8,18,154,6.375
8,19,160,6.625
8,20,166,6.875
8,21,172,7.125
8,22,178,7.375
8,23,184,7.625
8,24,190,7.875
9,1,53,2.1666666666666665
9,2,59,2.4166666666666665
9,3,65,2.6666666666666665
9,4,71,2.9166666666666665
9,5,77,3.1666666666666665
9,6,83,3.4166666666666665
9,7,89,3.6666666666666665
9,8,95,3.9166666666666665
9,9,101,4.166666666666667
9,10,107,4.416666666666667
9,11,113,4.666666666666667
9,12,119,4.916666666666667
9,13,125,5.166666666666667
9,14,131,5.416666666666667
9,15,137,5.666666666666667
9,16,143,5.916666666666667
9,17,149,6.166666666666667
9,18,155,6.416666666666667
9,19,161,6.666666666666667
9,20,167,6.916666666666667
9,21,173,7.166666666666667
9,22,179,7.416666666666667
9,23,185,7.666666666666667
9,24,191,7.916666666666667
10,1,54,2.2083333333333335
10,2,60,2.4583333333333335
10,3,66,2.7083333333333335
10,4,72,2.9583333333333335
10,5,78,3.2083333333333335
10,6,84,3.4583333333333335
10,7,90,3.7083333333333335
10,8,96,3.9583333333333335
10,9,102,4.208333333333333
10,10,108,4.458333333333333
10,11,114,4.708333333333333
10,12,120,4.958333333333333
10,13,126,5.208333333333333
10,14,132,5.458333333333333
10,15,138,5.708333333333333
10,16,144,5.958333333333333
10,17,150,6.208333333333333
10,18,156,6.458333333333333
10,19,162,6.708333333333333
10,20,168,6.958333333333333
10,21,174,7.208333333333333
10,22,180,7.458333333333333
10,23,186,7.708333333333333
10,24,192,7.958333333333333
11,1,53,2.1666666666666665
11,2,59,2.4166666666666665
11,3,65,2.6666666666666665
11,4,71,2.9166666666666665
11,5,77,3.1666666666666665
11,6,83,3.4166666666666665
11,7,89,3.6666666666666665
11,8,95,3.9166666666666665
